category,duration,upload_time,hook,retention,engagement,trending,viral
6,3357,0,0.3048131346144355,0.3995931349513969,2.0574672996942316,0,0
3,911,0,0.4483363414581806,0.29351167420105007,7.104138533969826,0,0
7,1877,0,0.36484106123827353,0.6145906042189423,12.403863185131335,0,0
4,2533,2,0.9829052328596898,0.7206114848079869,4.342659922677716,0,0
6,2005,1,0.8349408032137124,0.4479111720668493,3.0090301996999864,1,0
9,2511,3,0.47968675462048604,0.8635047849680593,11.362720825718707,1,1
2,1660,2,0.8792686260864679,0.9645099335361851,14.560190169415948,1,1
6,202,3,0.3476529475832968,0.6124561535236168,20.52317239100442,0,1
7,502,1,0.7858283238902646,0.5109328559945965,24.945305202675048,0,1
4,1476,2,0.22367559810645365,0.8585984052482661,19.3793424216809,0,1
3,3097,1,0.7723220452263659,0.121842592290448,5.611377253961373,1,0
7,2994,3,0.45645340319572836,0.21611135425082326,18.724653912155063,0,0
7,2516,0,0.10749932099224235,0.8610918931056409,13.475125245545149,1,1
2,3093,0,0.2732624545555823,0.7588257270831932,11.325158435015629,1,1
5,3158,3,0.4022746240235646,0.4745230283838934,23.399639498291013,1,1
4,527,0,0.7492929116644371,0.8999666719519644,17.582105414299573,1,1
1,2246,3,0.07298271473095086,0.41631245888084845,17.074157531244552,1,1
7,1018,2,0.6595469950926396,0.6704608220802257,0.3927235217172452,0,0
5,1635,2,0.7160136409328436,0.6709010232933244,21.640280135356598,1,1
1,2638,2,0.6539213699257515,0.2658987033528126,19.853181887516747,1,0
4,2505,0,0.7606696381675556,0.3563665625476522,7.543652760468019,1,0
0,448,1,0.1781686160228383,0.9244062304264772,7.373623971414556,0,1
9,1400,0,0.5871033550630373,0.26507336841407536,1.431613655292311,1,0
5,2532,0,0.9411449472038799,0.25621715966286207,1.3663249508440614,1,1
8,743,1,0.6107842698045377,0.5316539263604867,16.748003385195865,1,1
0,2279,1,0.611336346952953,0.18297763141405687,4.7373165614037065,0,0
9,208,1,0.736439642113269,0.9051635700859361,23.096341460979907,1,1
2,2134,1,0.33320423212585903,0.19013422448122397,21.075870257821318,0,0
6,1959,0,0.7004759013215406,0.654901729156715,8.787240484801375,0,0
3,975,3,0.9162338333132151,0.4058036708007863,9.563706940129643,0,1
8,2048,2,0.010895473025342994,0.8238455969239304,8.249186365284038,0,0
2,2578,3,0.8701130411088653,0.6308296711907847,2.4006333384748064,0,0
4,768,0,0.2186183312588591,0.4494755269714944,0.8826109254904269,0,0
2,1986,1,0.4559232737003752,0.9854856860903297,11.358115642663442,1,1
6,141,2,0.852347800952638,0.1596078896189776,23.58169885083821,1,1
4,3249,2,0.823912127456629,0.620007672907609,22.93950808839647,1,1
8,744,3,0.8919274781260559,0.9906114803896404,20.264984653921974,1,1
6,1431,0,0.9404167926325261,0.7218573788917154,15.752013693330817,0,1
1,2954,0,0.4471569567717586,0.7657926684779737,21.419937926617077,0,1
3,1968,0,0.6563638108010069,0.12888203012153734,12.925206091515946,1,0
8,3449,2,0.3904784405261067,0.11922684678726617,4.585987312213729,1,0
1,1411,3,0.3507167174921658,0.13249910078397356,17.135841659951872,1,0
9,3157,2,0.4315954105976695,0.9925515119586089,23.024086275944533,0,1
8,842,2,0.743076134782676,0.9815677846667663,0.5881669254030949,0,0
9,3417,1,0.5014407471415528,0.4010580331878356,6.3609568999774755,0,0
4,3041,3,0.814059674448342,0.361883634639246,6.709410962654658,0,0
1,1238,1,0.7452184771961559,0.23136287096605984,2.5660845115448967,1,0
3,3155,0,0.020478461124399328,0.3962262692482825,5.7148061128238785,0,0
6,66,2,0.6302381571061616,0.4331349374925433,9.661153739994328,1,1
7,1858,3,0.43657112330859105,0.7734545350831302,23.50190207872327,0,1
2,3090,0,0.4566289891511416,0.8796641976277613,21.520617651257233,1,1
0,3371,3,0.8183730538698947,0.7720616077672493,23.655554984139158,1,1
3,2940,2,0.5476079860846768,0.6818275909860152,3.102237240386246,0,0
1,2809,3,0.8856218234589471,0.7893100702799181,0.7984066943194911,0,0
